Location,Individuals,People in Families with Children,Total People Experiencing Homelessness,year
United States,387613,236175,623788,2011
Alabama,4325,1233,5558,2011
Alaska,1286,842,2128,2011
Arizona,6403,4101,10504,2011
Arkansas,2505,919,3424,2011
California,97964,27164,125128,2011
Colorado,4546,10570,15116,2011
Connecticut,3071,1385,4456,2011
Delaware,663,372,1035,2011
District of Columbia,3858,2688,6546,2011
Florida,37584,19103,56687,2011
Georgia,15975,5000,20975,2011
Hawaii,3195,2993,6188,2011
Idaho,1310,889,2199,2011
Illinois,8173,5836,14009,2011
Indiana,3789,2407,6196,2011
Iowa,1628,1506,3134,2011
Kansas,1425,1086,2511,2011
Kentucky,3842,2192,6034,2011
Louisiana,7941,1350,9291,2011
Maine,1184,1263,2447,2011
Maryland,6353,3855,10208,2011
Massachusetts,6344,10320,16664,2011
Michigan,7634,5551,13185,2011
Minnesota,3410,4085,7495,2011
Mississippi,1825,481,2306,2011
Missouri,4657,4332,8989,2011
Montana,1094,674,1768,2011
Nebraska,2210,1338,3548,2011
Nevada,7973,1177,9150,2011
New Hampshire,820,649,1469,2011
New Jersey,6841,7296,14137,2011
New Mexico,2246,1355,3601,2011
New York,27338,36107,63445,2011
North Carolina,8303,4593,12896,2011
North Dakota,396,207,603,2011
Ohio,7812,5218,13030,2011
Oklahoma,3236,1389,4625,2011
Oregon,9445,7809,17254,2011
Pennsylvania,7867,7229,15096,2011
Rhode Island,652,418,1070,2011
South Carolina,3505,1588,5093,2011
South Dakota,460,366,826,2011
Tennessee,6475,2638,9113,2011
Texas,23577,13334,36911,2011
Utah,1842,1288,3130,2011
Vermont,637,507,1144,2011
Virginia,5231,3585,8816,2011
Washington,10868,9571,20439,2011
West Virginia,1662,549,2211,2011
Wisconsin,2838,2947,5785,2011
Wyoming,320,718,1038,2011
Guam,279,1466,1745,2011
Northern Mariana Islands,N/A,N/A,N/A,2011
Puerto Rico,2346,554,2900,2011
Virgin Islands,450,82,532,2011
United States,382156,239397,621553,2012
Alabama,3825,1384,5209,2012
Alaska,1298,615,1913,2012
Arizona,6310,4992,11302,2012
Arkansas,3428,786,4214,2012
California,94888,25210,120098,2012
Colorado,5101,11667,16768,2012
Connecticut,2906,1303,4209,2012
Delaware,611,397,1008,2012
District of Columbia,3767,3187,6954,2012
Florida,36771,18399,55170,2012
Georgia,15363,5153,20516,2012
Hawaii,3130,3116,6246,2012
Idaho,1175,793,1968,2012
Illinois,8269,5875,14144,2012
Indiana,3316,2943,6259,2012
Iowa,1446,1482,2928,2012
Kansas,1526,1158,2684,2012
Kentucky,3282,1948,5230,2012
Louisiana,6322,1450,7772,2012
Maine,1287,1106,2393,2012
Maryland,5727,3727,9454,2012
Massachusetts,6289,11212,17501,2012
Michigan,7397,5195,12592,2012
Minnesota,3540,4204,7744,2012
Mississippi,1794,619,2413,2012
Missouri,4855,5382,10237,2012
Montana,1166,667,1833,2012
Nebraska,2215,1574,3789,2012
Nevada,7493,1004,8497,2012
New Hampshire,832,664,1496,2012
New Jersey,6603,6422,13025,2012
New Mexico,2136,1109,3245,2012
New York,30133,39433,69566,2012
North Carolina,8480,5044,13524,2012
North Dakota,485,203,688,2012
Ohio,7855,6122,13977,2012
Oklahoma,3454,1578,5032,2012
Oregon,9788,6040,15828,2012
Pennsylvania,7295,7441,14736,2012
Rhode Island,788,489,1277,2012
South Carolina,3327,1588,4915,2012
South Dakota,512,347,859,2012
Tennessee,6905,2521,9426,2012
Texas,20743,13309,34052,2012
Utah,2049,1478,3527,2012
Vermont,653,507,1160,2012
Virginia,5084,3340,8424,2012
Washington,11273,9231,20504,2012
West Virginia,1742,668,2410,2012
Wisconsin,3033,2994,6027,2012
Wyoming,1302,511,1813,2012
Guam,255,1046,1301,2012
Northern Mariana Islands,N/A,N/A,N/A,2012
Puerto Rico,2494,718,3212,2012
Virgin Islands,438,46,484,2012
United States,368174,222190,590364,2013
Alabama,3387,1302,4689,2013
Alaska,1362,584,1946,2013
Arizona,6510,4052,10562,2013
Arkansas,3174,638,3812,2013
California,93458,25094,118552,2013
Colorado,4664,5090,9754,2013
Connecticut,3101,1347,4448,2013
Delaware,575,371,946,2013
District of Columbia,3696,3169,6865,2013
Florida,31359,16503,47862,2013
Georgia,12880,4091,16971,2013
Hawaii,3355,2980,6335,2013
Idaho,1084,697,1781,2013
Illinois,7958,5467,13425,2013
Indiana,3751,2345,6096,2013
Iowa,1524,1560,3084,2013
Kansas,1480,1213,2693,2013
Kentucky,3302,1943,5245,2013
Louisiana,3908,1318,5226,2013
Maine,1563,1453,3016,2013
Maryland,5221,2984,8205,2013
Massachusetts,6694,12335,19029,2013
Michigan,7236,4291,11527,2013
Minnesota,3728,4486,8214,2013
Mississippi,1753,650,2403,2013
Missouri,4652,3929,8581,2013
Montana,1211,667,1878,2013
Nebraska,1892,1253,3145,2013
Nevada,6200,839,7039,2013
New Hampshire,798,649,1447,2013
New Jersey,6093,5909,12002,2013
New Mexico,1786,1033,2819,2013
New York,31235,46195,77430,2013
North Carolina,7530,4638,12168,2013
North Dakota,1230,839,2069,2013
Ohio,7611,4714,12325,2013
Oklahoma,3179,1229,4408,2013
Oregon,8994,4828,13822,2013
Pennsylvania,7973,7113,15086,2013
Rhode Island,862,522,1384,2013
South Carolina,4736,1808,6544,2013
South Dakota,557,537,1094,2013
Tennessee,6909,2619,9528,2013
Texas,20758,8857,29615,2013
Utah,1959,1318,3277,2013
Vermont,701,753,1454,2013
Virginia,4532,3093,7625,2013
Washington,10617,7143,17760,2013
West Virginia,1544,696,2240,2013
Wisconsin,3005,3099,6104,2013
Wyoming,677,276,953,2013
Guam,296,975,1271,2013
Northern Mariana Islands,N/A,N/A,N/A,2013
Puerto Rico,3470,658,4128,2013
Virgin Islands,444,38,482,2013
United States,360189,216261,576450,2014
Alabama,3115,1446,4561,2014
Alaska,1209,575,1784,2014
Arizona,6194,4301,10495,2014
Arkansas,2303,633,2936,2014
California,90765,23187,113952,2014
Colorado,5573,4455,10028,2014
Connecticut,3069,1381,4450,2014
Delaware,584,317,901,2014
District of Columbia,3953,3795,7748,2014
Florida,28730,12812,41542,2014
Georgia,12403,4118,16521,2014
Hawaii,3750,3168,6918,2014
Idaho,1234,870,2104,2014
Illinois,7350,5757,13107,2014
Indiana,3953,2018,5971,2014
Iowa,1544,1578,3122,2014
Kansas,1533,1250,2783,2014
Kentucky,3352,1737,5089,2014
Louisiana,3444,1162,4606,2014
Maine,1348,1378,2726,2014
Maryland,4980,2876,7856,2014
Massachusetts,6788,14449,21237,2014
Michigan,7535,4692,12227,2014
Minnesota,3652,4725,8377,2014
Mississippi,1714,512,2226,2014
Missouri,4307,2975,7282,2014
Montana,1167,578,1745,2014
Nebraska,1893,1133,3026,2014
Nevada,7356,1226,8582,2014
New Hampshire,795,581,1376,2014
New Jersey,6446,5225,11671,2014
New Mexico,1804,942,2746,2014
New York,32643,47947,80590,2014
North Carolina,7498,3993,11491,2014
North Dakota,886,372,1258,2014
Ohio,7704,4119,11823,2014
Oklahoma,2964,1227,4191,2014
Oregon,7988,4176,12164,2014
Pennsylvania,8359,6974,15333,2014
Rhode Island,779,411,1190,2014
South Carolina,3813,1244,5057,2014
South Dakota,490,395,885,2014
Tennessee,6800,2615,9415,2014
Texas,19177,9318,28495,2014
Utah,1729,1352,3081,2014
Vermont,823,736,1559,2014
Virginia,4234,2786,7020,2014
Washington,11390,7052,18442,2014
West Virginia,1488,525,2013,2014
Wisconsin,2929,3126,6055,2014
Wyoming,463,294,757,2014
Guam,332,1024,1356,2014
Northern Mariana Islands,N/A,N/A,N/A,2014
Puerto Rico,3432,700,4132,2014
Virgin Islands,425,23,448,2014
United States,358422,206286,564708,2015
Alabama,2868,1102,3970,2015
Alaska,1342,614,1956,2015
Arizona,6548,3348,9896,2015
Arkansas,1833,727,2560,2015
California,93156,22582,115738,2015
Colorado,5729,4224,9953,2015
Connecticut,2719,1328,4047,2015
Delaware,602,351,953,2015
District of Columbia,3821,3477,7298,2015
Florida,26325,9575,35900,2015
Georgia,9702,4088,13790,2015
Hawaii,4307,3313,7620,2015
Idaho,1172,794,1966,2015
Illinois,8152,5025,13177,2015
Indiana,3914,1949,5863,2015
Iowa,1501,1580,3081,2015
Kansas,1466,1122,2588,2015
Kentucky,3151,1387,4538,2015
Louisiana,3217,864,4081,2015
Maine,1219,1153,2372,2015
Maryland,5383,3007,8390,2015
Massachusetts,6378,14757,21135,2015
Michigan,6546,3970,10516,2015
Minnesota,3622,3924,7546,2015
Mississippi,1475,508,1983,2015
Missouri,3434,3048,6482,2015
Montana,1127,582,1709,2015
Nebraska,1720,1024,2744,2015
Nevada,7858,885,8743,2015
New Hampshire,778,667,1445,2015
New Jersey,6189,3909,10098,2015
New Mexico,1666,963,2629,2015
New York,36135,52115,88250,2015
North Carolina,7156,3529,10685,2015
North Dakota,864,441,1305,2015
Ohio,7565,3617,11182,2015
Oklahoma,2781,996,3777,2015
Oregon,9461,3765,13226,2015
Pennsylvania,8605,6816,15421,2015
Rhode Island,706,405,1111,2015
South Carolina,3934,1420,5354,2015
South Dakota,630,406,1036,2015
Tennessee,6516,2607,9123,2015
Texas,16265,7413,23678,2015
Utah,1809,1216,3025,2015
Vermont,910,613,1523,2015
Virginia,4190,2811,7001,2015
Washington,12526,6893,19419,2015
West Virginia,1414,421,1835,2015
Wisconsin,2992,3065,6057,2015
Wyoming,500,298,798,2015
Guam,306,974,1280,2015
Northern Mariana Islands,N/A,N/A,N/A,2015
Puerto Rico,3929,589,4518,2015
Virgin Islands,308,29,337,2015
United States,355212,194716,549928,2016
Alabama,3019,1092,4111,2016
Alaska,1527,413,1940,2016
Arizona,6659,3048,9707,2016
Arkansas,1838,625,2463,2016
California,97660,20482,118142,2016
Colorado,6450,4100,10550,2016
Connecticut,2570,1332,3902,2016
Delaware,753,317,1070,2016
District of Columbia,3683,4667,8350,2016
Florida,24201,9358,33559,2016
Georgia,9265,3644,12909,2016
Hawaii,4590,3331,7921,2016
Idaho,1284,963,2247,2016
Illinois,6986,4604,11590,2016
Indiana,3824,1974,5798,2016
Iowa,1543,1521,3064,2016
Kansas,1228,1027,2255,2016
Kentucky,2949,1288,4237,2016
Louisiana,3176,818,3994,2016
Maine,1321,920,2241,2016
Maryland,4983,2706,7689,2016
Massachusetts,6434,13174,19608,2016
